,Date,Close
220,2024-11-14,228.22
221,2024-11-15,225.0
222,2024-11-18,228.02
223,2024-11-19,228.28
224,2024-11-20,229.0
225,2024-11-21,228.52
226,2024-11-22,229.87
227,2024-11-25,232.87
228,2024-11-26,235.06
229,2024-11-27,234.93
230,2024-11-29,237.33
231,2024-12-02,239.59
232,2024-12-03,242.65
233,2024-12-04,243.01
234,2024-12-05,243.04
235,2024-12-06,242.84
236,2024-12-09,246.75
237,2024-12-10,247.77
238,2024-12-11,246.49
239,2024-12-12,247.96
240,2024-12-13,248.13
241,2024-12-16,251.04
242,2024-12-17,253.48
243,2024-12-18,248.05
244,2024-12-19,249.79
245,2024-12-20,254.49
246,2024-12-23,255.27
247,2024-12-24,258.2
248,2024-12-26,259.02
249,2024-12-27,255.59
250,2024-12-30,252.2
251,2024-12-31,250.42
252,2025-01-02,243.85
253,2025-01-03,243.36
254,2025-01-06,245.0
255,2025-01-07,242.21
256,2025-01-08,242.7
257,2025-01-10,236.85
258,2025-01-13,234.4
259,2025-01-14,233.28
260,2025-01-15,237.87
261,2025-01-16,228.26
262,2025-01-17,229.98
263,2025-01-21,222.64
264,2025-01-22,223.83
265,2025-01-23,223.66
266,2025-01-24,222.78
267,2025-01-27,229.86
268,2025-01-28,238.26
269,2025-01-29,239.36
270,2025-01-30,237.59
271,2025-01-31,236.0
272,2025-02-03,228.01
273,2025-02-04,232.8
274,2025-02-05,232.47
275,2025-02-06,233.22
276,2025-02-07,227.63
277,2025-02-10,227.65
278,2025-02-11,232.62
279,2025-02-12,236.87
280,2025-02-13,241.53
281,2025-02-14,244.6
282,2025-02-18,244.47
283,2025-02-19,244.87
284,2025-02-20,245.83
285,2025-02-21,245.55
286,2025-02-24,247.1
287,2025-02-25,247.04
288,2025-02-26,240.36
289,2025-02-27,237.3
290,2025-02-28,241.84
291,2025-03-03,238.03
292,2025-03-04,235.93
293,2025-03-05,235.74
294,2025-03-06,235.33
295,2025-03-07,239.07
296,2025-03-10,227.48
297,2025-03-11,220.84
298,2025-03-12,216.98
299,2025-03-13,209.68
300,2025-03-14,213.49
301,2025-03-17,214.0
302,2025-03-18,212.69
303,2025-03-19,215.24
304,2025-03-20,214.1
305,2025-03-21,218.27
306,2025-03-24,220.73
307,2025-03-25,223.75
308,2025-03-26,221.53
309,2025-03-27,223.85
310,2025-03-28,217.9
311,2025-03-31,222.13
312,2025-04-01,223.19
313,2025-04-02,223.89
314,2025-04-03,203.19
315,2025-04-04,188.38
316,2025-04-07,181.46
317,2025-04-08,172.42
318,2025-04-09,198.85
319,2025-04-10,190.42
320,2025-04-11,198.15
321,2025-04-14,202.52
322,2025-04-15,202.14
323,2025-04-16,194.27
324,2025-04-17,196.98
325,2025-04-21,193.16
326,2025-04-22,199.74
327,2025-04-23,204.6
328,2025-04-24,208.37
329,2025-04-25,209.28
330,2025-04-28,210.14
331,2025-04-29,211.21
332,2025-04-30,212.5
333,2025-05-01,213.32
334,2025-05-02,205.35
335,2025-05-05,198.89
336,2025-05-06,198.51
337,2025-05-07,196.25
338,2025-05-08,197.49
339,2025-05-09,198.53
340,2025-05-12,210.79
341,2025-05-13,212.93
342,2025-05-14,212.33
343,2025-05-15,211.45
344,2025-05-16,211.26
